judet,localitate,url,dns_ok,http_status,final_url,https_ok,is_primarie,cms,rss_url,rss_ok,last_signal_date,copyright_year,error
ALBA,INTREGALDE,http://primariaintregalde.ro,no,,,no,unclear,unknown,,no,,,dns_failed
ALBA,ROSIA MONTANA,https://primariarosiamontana.ro,no,,,no,unclear,unknown,,no,,,dns_failed
ALBA,BERGHIN,https://N/A,no,,,no,unclear,unknown,,no,,,dns_failed
ALBA,BUCIUM,https://primariabucium.ro,no,,,no,unclear,unknown,,no,,,dns_failed
ALBA,CUT,https://N/A,no,,,no,unclear,unknown,,no,,,dns_failed
ALBA,CERU-BACAINTI,http://cerubacainti.ro,no,,,no,unclear,unknown,,no,,,dns_failed
ALBA,ALBAC,https://N/A,no,,,no,unclear,unknown,,no,,,dns_failed
ALBA,HOREA,http://primariahorea.ro,no,,,no,unclear,unknown,,no,,,dns_failed
ALBA,LOPADEA NOUA,https://www.primarialopadeanoua.ro,no,,,no,unclear,unknown,,no,,,dns_failed
ALBA,ORAS ABRUD,http://www.primaria-abrud.ro,no,,,no,unclear,unknown,,no,,,dns_failed
ALBA,ORAS BAIA DE ARIES,http://www.baiadearies.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 410: Gone
ALBA,SANTIMBRU,https://N/A,no,,,no,unclear,unknown,,no,,,dns_failed
ALBA,RAMET,https://www.comunarimet.ro,yes,,,no,unclear,unknown,,no,,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.comunarimet.ro'. (_ssl.c:1016)"
ALBA,ARIESENI,http://www.primariaarieseni.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 410: Gone
ALBA,IGHIU,https://www.comunaighiu.ro,yes,,,no,unclear,unknown,,no,,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.comunaighiu.ro'. (_ssl.c:1016)"
ALBA,ORAS CAMPENI,http://www.primariacimpeni.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 403: Forbidden
ALBA,LUNCA MURESULUI,https://www.lunca-muresului.ro,yes,,,no,unclear,unknown,,no,,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.lunca-muresului.ro'. (_ssl.c:1016)"
ALBA,PONOR,https://www.comunaponor.ro,yes,,,no,unclear,unknown,,no,,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.comunaponor.ro'. (_ssl.c:1016)"
ALBA,BUCERDEA GRANOASA,https://bucerdea-granoasa.ro/site,yes,,,no,unclear,unknown,,no,,,HTTP Error 404: Not Found
ARAD,BRAZII,https://N/A,no,,,no,unclear,unknown,,no,,,dns_failed
ARAD,BIRCHIS,https://N/A,no,,,no,unclear,unknown,,no,,,dns_failed
ARAD,GURAHONT,https://www.gurahont.ro,no,,,no,unclear,unknown,,no,,,dns_failed
ARAD,PLESCUTA,http://www.plescuta.ro,no,,,no,unclear,unknown,,no,,,dns_failed
ARAD,HALMAGIU,https://www.primariahalmagiu.ro,yes,,,no,unclear,unknown,,no,,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.primariahalmagiu.ro'. (_ssl.c:1016)"
